"date_time","building_code","info_status","consumption",
10/16/2012 10:30:00 PM,VML,Reliable,11328,
10/16/2012 10:30:00 PM,WMH,Reliable,10553,
10/16/2012 10:30:00 PM,WIL,Reliable,1526,
10/16/2012 10:30:00 PM,CAR,Reliable,4882,
10/16/2012 10:30:00 PM,HSH,Reliable,99680,
10/16/2012 10:30:00 PM,EMM,Reliable,483.5,
10/16/2012 10:28:53 PM,ELL,Reliable,20758,
10/16/2012 10:25:53 PM,ELL,Reliable,20756,
10/16/2012 10:23:53 PM,ELL,Reliable,20754,
10/16/2012 10:21:53 PM,ELL,Reliable,20752,
10/16/2012 10:19:53 PM,ELL,Reliable,20750,
10/16/2012 10:19:07 PM,ELEC,Reliable,7712,
10/16/2012 10:16:53 PM,ELL,Reliable,20748,
10/16/2012 10:14:53 PM,ELL,Reliable,20746,
10/16/2012 10:11:53 PM,ELL,Reliable,20744,
10/16/2012 10:09:53 PM,ELL,Reliable,20742,
10/16/2012 10:08:07 PM,ELEC,Reliable,7708,
10/16/2012 10:07:53 PM,ELL,Reliable,20740,
10/16/2012 10:04:53 PM,ELL,Reliable,20738,
10/16/2012 10:02:53 PM,ELL,Reliable,20736,
10/16/2012 10:00:53 PM,ELL,Reliable,20734,
10/16/2012 10:00:00 PM,SEM,Reliable,2435,
10/16/2012 10:00:00 PM,SEM,Reliable,13664,
10/16/2012 10:00:00 PM,CRO,Reliable,14078,
10/16/2012 10:00:00 PM,EAT,Reliable,13908,
10/16/2012 10:00:00 PM,CHI,Reliable,10682,
10/16/2012 10:00:00 PM,UNH,Reliable,25164,
10/16/2012 10:00:00 PM,RHO,Reliable,1388,
10/16/2012 10:00:00 PM,SUB,Reliable,28112,
10/16/2012 10:00:00 PM,BAC,Reliable,9156,
10/16/2012 10:00:00 PM,ELEC,Reliable,32902,
10/16/2012 10:00:00 PM,WHE,Reliable,34432,
10/16/2012 10:00:00 PM,MAN,Reliable,1484,
10/16/2012 10:00:00 PM,CUT,Reliable,16386,
10/16/2012 10:00:00 PM,RRG,Reliable,3900,
10/16/2012 10:00:00 PM,DEN,Reliable,11858,
10/16/2012 10:00:00 PM,HOR,Reliable,2542,
10/16/2012 10:00:00 PM,VML,Reliable,19854,
10/16/2012 10:00:00 PM,VML,Reliable,11304,
10/16/2012 10:00:00 PM,WMH,Reliable,10534,
10/16/2012 10:00:00 PM,WIL,Reliable,1524,
10/16/2012 10:00:00 PM,CAR,Reliable,4878,
10/16/2012 10:00:00 PM,HSH,Reliable,99520,
10/16/2012 10:00:00 PM,EMM,Reliable,483,
10/16/2012 09:58:53 PM,ELL,Reliable,20732,
10/16/2012 09:57:07 PM,ELEC,Reliable,7704,
10/16/2012 09:55:53 PM,ELL,Reliable,20730,
10/16/2012 09:53:53 PM,ELL,Reliable,20728,
10/16/2012 09:51:53 PM,ELL,Reliable,20726,
10/16/2012 09:48:53 PM,ELL,Reliable,20724,
10/16/2012 09:46:53 PM,ELL,Reliable,20722,
10/16/2012 09:46:07 PM,ELEC,Reliable,7700,
10/16/2012 09:44:53 PM,ELL,Reliable,20720,
10/16/2012 09:42:53 PM,ELL,Reliable,20718,
10/16/2012 09:39:53 PM,ELL,Reliable,20716,
10/16/2012 09:37:53 PM,ELL,Reliable,20714,
10/16/2012 09:35:53 PM,ELL,Reliable,20712,
10/16/2012 09:35:07 PM,ELEC,Reliable,7696,
10/16/2012 09:32:53 PM,ELL,Reliable,20710,
10/16/2012 09:30:53 PM,ELL,Reliable,20708,
10/16/2012 09:30:00 PM,SEM,Reliable,2428,
10/16/2012 09:30:00 PM,SEM,Reliable,13646,
10/16/2012 09:30:00 PM,CRO,Reliable,14048,
10/16/2012 09:30:00 PM,EAT,Reliable,13880,
10/16/2012 09:30:00 PM,CHI,Reliable,10662,
10/16/2012 09:30:00 PM,UNH,Reliable,25128,
10/16/2012 09:30:00 PM,RHO,Reliable,1386,
10/16/2012 09:30:00 PM,SUB,Reliable,28082,
10/16/2012 09:30:00 PM,BAC,Reliable,9144,
10/16/2012 09:30:00 PM,ELEC,Reliable,32842,
10/16/2012 09:30:00 PM,WHE,Reliable,34384,
10/16/2012 09:30:00 PM,MAN,Reliable,1482,
10/16/2012 09:30:00 PM,CUT,Reliable,16348,
10/16/2012 09:30:00 PM,RRG,Reliable,3894,
10/16/2012 09:30:00 PM,DEN,Reliable,11837,
10/16/2012 09:30:00 PM,HOR,Reliable,2537,
10/16/2012 09:30:00 PM,VML,Reliable,19802,
10/16/2012 09:30:00 PM,VML,Reliable,11278,
10/16/2012 09:30:00 PM,WMH,Reliable,10510,
10/16/2012 09:30:00 PM,WIL,Reliable,1522,
10/16/2012 09:30:00 PM,CAR,Reliable,4872,
10/16/2012 09:30:00 PM,HSH,Reliable,99340,
10/16/2012 09:30:00 PM,EMM,Reliable,482.5,
10/16/2012 09:28:53 PM,ELL,Reliable,20706,
10/16/2012 09:25:53 PM,ELL,Reliable,20704,
10/16/2012 09:25:07 PM,ELEC,Reliable,7692,
10/16/2012 09:23:53 PM,ELL,Reliable,20702,
10/16/2012 09:21:53 PM,ELL,Reliable,20700,
10/16/2012 09:19:53 PM,ELL,Reliable,20698,
10/16/2012 09:16:53 PM,ELL,Reliable,20696,
10/16/2012 09:14:53 PM,ELL,Reliable,20694,
10/16/2012 09:14:07 PM,ELEC,Reliable,7688,
