"Date / Time","Name Path Reference","Object Name","Status","Object Value",
"10/27/2012 01:01:43 PM","AcadiaU:ELL-NAE03/Programming.ELL-NAE03.MISC.ELEC-MTR.Consumption (Trend1)","ELL-NAE03.MISC.ELEC-MTR.Consumption (Trend1)","Reliable","34284 kWh",
"10/27/2012 01:01:03 PM","AcadiaU:CHP-NCE11/Programming.ELEC-MTR-CHP.Consumption (Trend1)","ELEC-MTR-CHP.Consumption (Trend1)","Reliable","14636 kWh",
"10/27/2012 01:00:00 PM","AcadiaU:SEM-NCE22/Programming.SEM-NCE22.MISC.ELEC-MTR.Consumption (Trend1)","SEM-NCE22.MISC.ELEC-MTR.Consumption (Trend1)","Reliable","4339 kWh",
"10/27/2012 01:00:00 PM","AcadiaU:SEM-NCE22/Programming.SEM-NCE22.MISC.ELEC-MTR2.Consumption (Trend1)","SEM-NCE22.MISC.ELEC-MTR2.Consumption (Trend1)","Reliable","22008 kWh",
"10/27/2012 01:00:00 PM","AcadiaU:CRO-NCE17/Programming.CRO-NCE17.MISC.ELEC-MTR.Consumption (Trend1)","CRO-NCE17.MISC.ELEC-MTR.Consumption (Trend1)","Reliable","25150 kWh",
"10/27/2012 01:00:00 PM","AcadiaU:EAT-NCE18/Programming.EAT-NCE18.MISC.ELECT-MTR.Consumption (Trend1)","EAT-NCE18.MISC.ELECT-MTR.Consumption (Trend1)","Reliable","24538 kWh",
"10/27/2012 01:00:00 PM","AcadiaU:CHI-NCE26/Programming.CHI-NCE26.MISC.ELECT-MTR.Consumption (Trend1)","CHI-NCE26.MISC.ELECT-MTR.Consumption (Trend1)","Reliable","18724 kWh",
"10/27/2012 01:00:00 PM","AcadiaU:UNH-NCE06/Programming.UNH-NCE06.MISC.ELEC-MTR.Consumption (Trend1)","UNH-NCE06.MISC.ELEC-MTR.Consumption (Trend1)","Reliable","43236 kWh",
"10/27/2012 01:00:00 PM","AcadiaU:RHO-NCE05/Programming.RHO-NCE05.MISC.ELEC-MTR.Consumption (Trend1)","RHO-NCE05.MISC.ELEC-MTR.Consumption (Trend1)","Reliable","2504 kWh",
"10/27/2012 01:00:00 PM","AcadiaU:SUB-NCE10/Programming.SUB-NCE10.MISC.ELEC-MTR.Consumption (Trend1)","SUB-NCE10.MISC.ELEC-MTR.Consumption (Trend1)","Reliable","48290 kWh",
"10/27/2012 01:00:00 PM","AcadiaU:BAC-NAE14/Programming.BAC-NAE14.MISC.ELEC-MTR.Consumption (Trend1)","BAC-NAE14.MISC.ELEC-MTR.Consumption (Trend1)","Reliable","16012 kWh",
"10/27/2012 01:00:00 PM","AcadiaU:BAC-NAE14/Programming.ELEC-MTR600.Consumption (Trend1)","ELEC-MTR600.Consumption (Trend1)","Reliable","56328 kWh",
"10/27/2012 01:00:00 PM","AcadiaU:WHE-NCE16/Programming.WHE-NCE16.MISC.ELEC-MTR.Consumption (Trend1)","WHE-NCE16.MISC.ELEC-MTR.Consumption (Trend1)","Reliable","60256 kWh",
"10/27/2012 01:00:00 PM","AcadiaU:MAN-NCE20/Programming.MAN-NCE20.MISC.ELEC-MTR.Consumption (Trend1)","MAN-NCE20.MISC.ELEC-MTR.Consumption (Trend1)","Reliable","2554 kWh",
"10/27/2012 01:00:00 PM","AcadiaU:CUT-NCE29/Programming.CUT-NCE29.MISC.ELEC-MTR.Consumption (Trend1)","CUT-NCE29.MISC.ELEC-MTR.Consumption (Trend1)","Reliable","29536 kWh",
"10/27/2012 01:00:00 PM","AcadiaU:RRG-NAE02/Programming.RRG-NAE02.MISC.ELEC-MTR.Consumption (Trend1)","RRG-NAE02.MISC.ELEC-MTR.Consumption (Trend1)","Reliable","6992 kWh",
"10/27/2012 01:00:00 PM","AcadiaU:DEN-NCE27/Programming.DEN-NCE27.MISC.ELEC-MTR.Consumption (Trend1)","DEN-NCE27.MISC.ELEC-MTR.Consumption (Trend1)","Reliable","20912 kWh",
